"An error occured while processing your payment request, please try again later","An error occured while processing your payment request, please try again later"
"There was an error checking the transaction status.","There was an error checking the transaction status."
"Something went wrong.","Something went wrong."
"Order %1 not found","Order %1 not found"
"Enabled (sandbox mode)","Enabled (sandbox mode)"
"Disabled (live)","Disabled (live)"
"Customer redirected to Spryng, url: %1","Customer redirected to Spryng, url: %1"
"Transaction ID not found","Transaction ID not found"
"Api key not found","Api key not found"
"Error creating Klarna customer data","Error creating Klarna customer data"
"Error creating SEPA customer data","Error creating SEPA customer data"
"Order not found","Order not found"
"New order email sent","New order email sent"
"Notified customer about invoice #%1","Notified customer about invoice #%1"
"Transaction with ID %1 is requested. Your order with ID %2 should be updated automatically when the status on the payment is updated.","Transaction with ID %1 is requested. Your order with ID %2 should be updated automatically when the status on the payment is updated."
"Transaction with ID %1 has started. Your iDEAL approval URL is %2. Your order with ID %3 will be updated automatically when you have paid.","Transaction with ID %1 has started. Your iDEAL approval URL is %2. Your order with ID %3 will be updated automatically when you have paid."
"Transaction with ID %1 is processed. Your order with ID %2 should be updated automatically when the status on the payment is updated.","Transaction with ID %1 is processed. Your order with ID %2 should be updated automatically when the status on the payment is updated."
"Payment was cancelled, please try again","Payment was cancelled, please try again"
"The status of your order with ID %1 is %2. The order should be updated automatically when the status changes","The status of your order with ID %1 is %2. The order should be updated automatically when the status changes"
"The order was canceled","The order was canceled"
"No order found for transaction id %1","No order found for transaction id %1"
"Please provide a valid API Key first.","Please provide a valid API Key first."
"The API Key you provided is invalid.","The API Key you provided is invalid."
"Error creating customer data, %1","Error creating customer data, %1"
"Error updating customer data, %1","Error updating customer data, %1"
"Credit Card Number","Credit Card Number"
"Expiration Date","Expiration Date"
"Card Verification Number (optional)","Card Verification Number (optional)"
"Card Verification Number","Card Verification Number"
"Place Order","Place Order"
"Title","Title"
"Payment Plan","Payment Plan"
"Date of Birth","Date of Birth"
"Error, please try again","Error, please try again"
"Bancontact","Bancontact"
"Enabled","Enabled"
"Account","Account"
"Organisation","Organisation"
"Account ID","Account ID"
"Limit","Limit"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Minimum Order Total","Minimum Order Total"
"Maximum Order Total","Maximum Order Total"
"Sort Order","Sort Order"
"Creditcard","Creditcard"
"Creditcard Types","Creditcard Types"
"iDEAL","iDEAL"
"Klarna","Klarna"
"Project ID","Project ID"
"Paypal","Paypal"
"Sepa","Sepa"
"Sofort","Sofort"
"Spryng Payments","Spryng Payments"
"Branding","Branding"
"General","General"
"Version","Version"
"API Details","API Details"
"Sandbox Mode","Sandbox Mode"
"Sandbox API Key","Sandbox API Key"
"Live API Key","Live API Key"
"Settings","Settings"
"Configure the general Spryng Payment Payment status and Payment Icons.","Configure the general Spryng Payment Payment status and Payment Icons."
"Status Pending","Status Pending"
"Set the order status before the customer is redirected to Payment Gateway","Set the order status before the customer is redirected to Payment Gateway"
"Status Processing","Status Processing"
"Set the order status for Completed Payments","Set the order status for Completed Payments"
"Send Invoice Email","Send Invoice Email"
"Set the notification for to Notify the customer with the Invoice","Set the notification for to Notify the customer with the Invoice"
"Transaction Description","Transaction Description"
"Merchant Reference","Merchant Reference"
"Debug","Debug"
"Especially for Developers you can enable the Debug mode.","Especially for Developers you can enable the Debug mode."
"Debug requests","Debug requests"